chunk_id,chunk_text,clause_type,clause_domain,clause_subdomain,jurisdiction,regulation,document_name,clause_title,clause_number,keywords,entities,hierarchy_path,search_score,reranker_score,caption
cc3142b5-5c06-49ee-a7f2-990683762871,"§ 65. Violation of personal data processing principles

(1) Violation of the principles of processing personal data provided for in Article 5 of Regulation (EU)
2016/679 of the European Parliament and Council, and violation of the procedure for giving the data subject's
consent provided for in Articles 5-7 and 9 of the same Regulation
is punishable by a fine of up to 20,000,000 euros.",consent,Data Lifecycle Management|Individual Rights Processing|Design Principles,"Lawfulness, Fairness, Transparency|Consent",Estonia,GDPR,"""Personal Data Protection Act - Estonia 2019""",(1) Violation of the principles of processing personal data provided for in Article 5 of Regulation (EU),General,consent|data subject consent|controller,"data subject|personal data|20,000,000",Chapter 1 > § 1. Scope of regulation of Act > Division 2 > Chapter 6 > § 62. Violation of obligations of controller and processor > § 65. Violation of personal data processing principles > (1) Violation of the principles of processing personal data provided for in Article 5 of Regulation (EU),14.74966,0,
39358857-5b4f-4698-99f7-d4b476b1d2a7,"Article 40Conditions for transfer. The transfer will always require the
unequivocal consent of the owner. The transfer implies the transfer of personal data
by the sole and exclusive party of the person responsible who transfers the person
responsible for receiving the personal data. Said transfer of personal data will always
require the informed consent of the owner, unless otherwise provided by law, also
that the data to be transferred has been lawfully collected or collected and according
to ...",consent,Individual Rights Processing|Data Lifecycle Management|Third-Party Risk Management,"Consent|Lawfulness, Fairness, Transparency|Third-Party Contract and Service Initiation",Costa Rica,GDPR,"""Regulation to Personal Data Protection Law - Costa Rica 2012""",Article 40Conditions for transfer. The transfer will always require the,40,consent|informed consent|personal data|transfer|controller|processor,personal data,"Chapter I > Article 1. Object. The purpose of these provisions is to regulate the Law on > Article 2. Definitions, acronyms and acronyms. In addition to the definitions > Chapter IV > Article 40Conditions for transfer. The transfer will always require the",14.690858,0,
05311cbd-2ff5-4aed-be11-597b61ec487a,"Article 58. Start of the Rights Protection procedure. Any person who has a
subjective right or a legitimate interest can denounce, before the Agency, that a
public or private database acts in contravention of the rules or basic principles for
data protection and informative self-determination, established by the Law and these
Regulations.
Likewise, the Agency may automatically initiate a procedure to verify whether
a database is being used or not, in accordance with the Law and these Regulations...",consent,Individual Rights Processing|Information Security|Data Lifecycle Management,"Consent|Data Subject Rights|Information Protection Processes and Procedures|Lawfulness, Fairness, Transparency",Costa Rica,GDPR,"""Regulation to Personal Data Protection Law - Costa Rica 2012""",Article 58. Start of the Rights Protection procedure. Any person who has a,58,consent|explicit consent|informed consent|controller|right to access|right to erasure|right to rectification|legitimate interests|data minimization|purpose limitation|integrity and confidentiality,personal data|third party|Personal data|Sensitive data,"Chapter I > Article 1. Object. The purpose of these provisions is to regulate the Law on > Article 2. Definitions, acronyms and acronyms. In addition to the definitions > Chapter VII > Article 58. Start of the Rights Protection procedure. Any person who has a",13.9961195,0,
70757873-e0b8-4a5f-a445-d364ce4c05e6,"(2) The processing of data as mentioned in subsection (1) may also take place where the
processing is necessary to enable the data controller or a third party to pursue a legitimate
interest that arises from other law or collective agreements, provided the interests or
fundamental rights or freedoms of the data subject are not overridden.

(3) The processing of personal data in an employment context may take place on the basis
of consent given by the data subject in accordance with Article 7 of ...",consent,Individual Rights Processing|Data Lifecycle Management|Policy Management,"Consent|Lawfulness, Fairness, Transparency|Notice and Disclosure",Denmark,GDPR,"""Data Protection Act - Denmark 2018""",(2) The processing of data as mentioned in subsection (1) may also take place where the,6,consent|explicit consent|data subject|data controller|legitimate interest|personal data|General Data Protection Regulation,data subject|controller|personal data|third party,"Chapter I > Part 3 > (2) To ascertain whether processing for another purpose is compatible with the purpose for > (3) Regardless of subsections (1) and (2), in consultation with the Minister of Justice and > Article 6 of the General Data Protection Regulation processed solely in connection with > (2) The data covered by subsection (1) may not subsequently be processed for other than > (2) The processing of data as mentioned in subsection (1) may also take place where the",13.91973,0,
05882fd2-9031-48f3-8a2b-bdfe97f3e999,"(2) If point a) of Article 6(1) of the General Data Protection Regulation is applied in
connection with the offering of information society services direct to children, the
processing of personal data concerning a child is lawful, provided the child is no younger
than 13.

(3) If the child is under 13, the processing is only lawful if and to the extent that consent is
given or approved by the holder of parental responsibility for the child.
7 .- (1) The prohibition against processing sensitive p...",consent,Individual Rights Processing|Data Lifecycle Management,"Consent|Lawfulness, Fairness, Transparency",Denmark,GDPR,"""Data Protection Act - Denmark 2018""",(2) If point a) of Article 6(1) of the General Data Protection Regulation is applied in,General,consent|processing of personal data|sensitive personal data|lawful basis,personal data,"Chapter I > Part 3 > (2) To ascertain whether processing for another purpose is compatible with the purpose for > (3) Regardless of subsections (1) and (2), in consultation with the Minister of Justice and > (2) If point a) of Article 6(1) of the General Data Protection Regulation is applied in",13.909281,0,
84a8ae12-3dd6-40ff-be73-7cad79a3a654,"(3) Private individuals or entities may process data about criminal offences if the data
subject has given explicit consent. Processing may also take place if necessary for the
purpose of safeguarding a legitimate interest and this interest clearly overrides the interests
of the data subject.

(4) The data mentioned in subsection (3) may not be disclosed without the explicit consent
of the data subject. However, disclosure may take place without consent for the purpose of
safeguarding public or ...",consent,Individual Rights Processing|Data Lifecycle Management,"Consent|Data Subject Rights|Lawfulness, Fairness, Transparency",Denmark,GDPR,"""Data Protection Act - Denmark 2018""",(3) Private individuals or entities may process data about criminal offences if the data,9,explicit consent|data subject|legitimate interest,data subject,"Chapter I > Part 3 > (2) To ascertain whether processing for another purpose is compatible with the purpose for > (3) Regardless of subsections (1) and (2), in consultation with the Minister of Justice and > Article 9(1) of the General Data Protection Regulation. > (4) The processing of data covered by Article 9(1) of the General Data Protection > (3) Private individuals or entities may process data about criminal offences if the data",13.497405,0,
691b5ea5-3f5c-474e-b50b-3bfa75679baa,"(i) This Code section shall not be construed to prohibit an operator from marketing educational products
directly to parents so long as the marketing did not result from the use of student data obtained without
parental consent by the operator through the provision of services covered under this Code section.

(j) This Code section shall not be construed to impose a duty upon a provider of an electronic store,
gateway, marketplace, or other means of purchasing or downloading software or applicat...",consent,Policy Management|Third-Party Risk Management,Data Use|Third-Party Monitoring,Georgia,FERPA,"""Student Data Privacy Act - Georgia 2015""",(i) This Code section shall not be construed to prohibit an operator from marketing educational products,15,consent|compliance,,"TITLE 20. EDUCATION > CHAPTER 2. ELEMENTARY > ARTICLE 15. STUDENT DATA PRIVACY, ACCESSIBILITY, AND > § 20-2-666. Activities by operators; limitations > (a) An operator shall not knowingly engage in any of the following activities with respect to such > (1) Use student data to engage in behaviorally targeted advertising on the operator's site, service, or > (i) This Code section shall not be construed to prohibit an operator from marketing educational products",13.48413,0,
52530fde-fa8e-46c4-9bc4-32b54c29f1e3,"(b) A person or entity providing electronic communication service to the public may divulge the contents of any such
communication-

(i) as otherwise authorized in section 2511(2)(a) or 2517 of this title;
(ii) with the lawful consent of the originator or any addressee or intended recipient of such communication;
(iii) to a person employed or authorized, or whose facilities are used, to forward such communication to its
destination; or
(iv) which were inadvertently obtained by the service provid...",consent,Policy Management|Information Security|Incident Response,Notice and Disclosure|Incident Management|Breach Notification,US,GDPR,"""Wiretap Act - US 1968""",(b) A person or entity providing electronic communication service to the public may divulge the contents of any such,General,consent|lawful consent,recipient,"§2511. Interception and disclosure of wire, oral, or electronic communications > (1) Except as otherwise specifically provided in this chapter any person who- > (a) intentionally intercepts, endeavors to intercept, or procures any other person to intercept or endeavor to > (b) intentionally uses, endeavors to use, or procures any other person to use or endeavor to use any electronic, > (i) such device is affixed to, or otherwise transmits a signal through, a wire, cable, or other like connection used > (v) such person acts in the District of Columbia, the Commonwealth of Puerto Rico, or any territory or > (b) A person or entity providing electronic communication service to the public may divulge the contents of any such",13.477529,0,
05a60cc6-0df6-4b6e-a091-1f72b68e5172,"12. A health carrier shall require a provider to make health records available to
appropriate state and federal authorities involved in assessing the quality of care but shall
not disclose individual identities, or investigating the grievances or complaints of
enrollees, and to comply with the applicable state and federal laws related to the
confidentiality of medical or health records.

13. The rights and responsibilities of a provider under a contract between a health
carrier and a participati...",consent,Data Lifecycle Management|Third-Party Risk Management,Data Use|Third-Party Contract and Service Initiation,Missouri,HIPAA,"""Health Services Corporations Act - Missouri 1983""",12. A health carrier shall require a provider to make health records available to,12,consent|confidentiality,,"(1) ""Corporation"", a domestic health services corporation subject to the provisions of > (2) ""Director"", the director of the department of commerce and insurance of the state of > (3) ""Health services"", the health care and services provided by hospitals, or other > (4) ""Health services corporation"", any not-for-profit corporation heretofore or > (5) ""Member"" or ""beneficiary"", a natural person who is entitled to receive health > (6) ""Membership contract"", any agreement, contract or certificate by which a health > (3) The provisions of sections 354.600 to 354.636 shall not require a health carrier, its > 12. A health carrier shall require a provider to make health records available to",13.091417,0,
30f3617e-fc92-4b54-b8a4-671f964f070a,"Article 43 Equipment location information.
Therefore, information on the location of equipment in public telecommunications networks or
general electronic communications services that it is not possible to connect them to individual users or after receiving them
their consent.
[Notwithstanding the provisions of the first paragraph. electronic communications undertakings shall, without the consent of the user, send, free of charge,
information under this Article, to the extent technically feasibl...",consent,Individual Rights Processing|Information Security,Consent|Data Subject Rights|Information Protection Processes and Procedures,Iceland,GDPR,"""Telecommunications Act - Iceland 2003""",Article 43 Equipment location information.,43,consent|controller,,Chapter I. Objectives and scope. Electronic Communications Board. > Article 1 Objectives and scope. > Article 2 Electronic Communications Board. > Chapter V. Markets. > Article 43 Equipment location information.,12.0916395,0,
f1beafc9-e1cc-47c5-ab62-399dce2942b6,"(3) Sell a student's data. This prohibition does not apply to the purchase, merger, or other type of
acquisition of an operator by another entity, provided that the operator or successor entity continues to
be subject to the provisions of this Code section with respect to previously acquired student data that is
subject to this article; or

(4) Disclose student personally identifiable data without explicit written or electronic consent from a
student over the age of 13 or a student's parent or g...",consent,Data Lifecycle Management|Individual Rights Processing|Information Security|Third-Party Risk Management,Consent|Data Use|Third-Party Contract and Service Initiation,Georgia,FERPA,"""Student Data Privacy Act - Georgia 2015""","(3) Sell a student's data. This prohibition does not apply to the purchase, merger, or other type of",15,explicit consent|student personally identifiable data|security|service provider|reasonable security procedures and practices,recipient,"TITLE 20. EDUCATION > CHAPTER 2. ELEMENTARY > ARTICLE 15. STUDENT DATA PRIVACY, ACCESSIBILITY, AND > § 20-2-666. Activities by operators; limitations > (a) An operator shall not knowingly engage in any of the following activities with respect to such > (1) Use student data to engage in behaviorally targeted advertising on the operator's site, service, or > (3) Sell a student's data. This prohibition does not apply to the purchase, merger, or other type of",11.751816,0,
a7688dc0-9892-476d-af6d-1ebe5878278f,"(2) Depseudonymisation or any other method by which the data not enabling identification of persons are
changed again into the data which enable identification of persons are only permitted for the needs of additional
scientific and historical research or official statistics. Processors of personal data shall designate a person
identified by name who has access to the information allowing pseudonymisation.

(3) Processing of data concerning any data subjects for the needs of scientific and histo...",consent,Data Lifecycle Management|Individual Rights Processing|Design Principles,Consent|Privacy and Security Enhancing Techniques|Data Ethics,Estonia,GDPR,"""Personal Data Protection Act - Estonia 2019""",(2) Depseudonymisation or any other method by which the data not enabling identification of persons are,General,depseudonymisation|processors of personal data|pseudonymisation|data subject|scientific and historical research|official statistics|consent|personal data|data processing,data subject|personal data,Chapter 1 > § 1. Scope of regulation of Act > (1) This Act regulates: > Chapter 2 > § 4. Processing of personal data for journalistic purposes > § 6. Processing of personal data for needs of scientific and historical research and official statistics > (2) Depseudonymisation or any other method by which the data not enabling identification of persons are,11.641653,0,
f2be0938-40f8-4689-a515-699912ef3118,"Article 10. Refusal to revoke. In case of refusal, express or tacit, on the part
of the person in charge, to process the revocation of consent, the owner may submit
to the Agency the corresponding complaint referred to in the Law and these
Regulations.

Article 11.Right to be forgotten. The conservation of personal data that may
affect the owner, must not exceed a period of ten years, from the date of termination
of the data processing object, unless special regulatory provision establishes
anot...",consent,Individual Rights Processing|Data Lifecycle Management,Consent|Data Subject Rights|Data Retention,Costa Rica,GDPR,"""Regulation to Personal Data Protection Law - Costa Rica 2012""","Article 10. Refusal to revoke. In case of refusal, express or tacit, on the part",10,consent|revocation of consent|right to be forgotten|personal data|data processing,personal data,"Chapter I > Article 1. Object. The purpose of these provisions is to regulate the Law on > Article 2. Definitions, acronyms and acronyms. In addition to the definitions > Chapter II > Article 10. Refusal to revoke. In case of refusal, express or tacit, on the part",11.623191,0,
84eee9b5-7268-4cc1-926a-8c3f5b799b87,"4. Health maintenance organizations shall not set a limit on the quantity of drugs
which an enrollee may obtain at any one time with a prescription, unless such limit is
applied uniformly to all pharmacy providers in the health maintenance organization's
network.

5. Health maintenance organizations shall not insist or mandate any physician or other
licensed health care practitioner to change an enrollee's maintenance drug unless the
provider and enrollee agree to such change. For the purposes o...",consent,Policy Management,"Policies, Standards, and Guidelines Management",Missouri,HIPAA,"""Health Services Corporations Act - Missouri 1983""",4. Health maintenance organizations shall not set a limit on the quantity of drugs,4,consent,,"(1) ""Corporation"", a domestic health services corporation subject to the provisions of > (2) ""Director"", the director of the department of commerce and insurance of the state of > (3) ""Health services"", the health care and services provided by hospitals, or other > (4) ""Health services corporation"", any not-for-profit corporation heretofore or > (5) ""Member"" or ""beneficiary"", a natural person who is entitled to receive health > (6) ""Membership contract"", any agreement, contract or certificate by which a health > (4) In the event of a claim or litigation between such person and the health > 4. Health maintenance organizations shall not set a limit on the quantity of drugs",11.574648,0,
9d9bee02-890d-4843-ae00-d4e90452a45f,"Chapter 3
OTHER CASES OF PROCESSING PERSONAL DATA

§ 8. Processing of children's personal data for provision of information society services",consent,Individual Rights Processing|Policy Management,Consent|Notice and Disclosure,Estonia,GDPR,"""Personal Data Protection Act - Estonia 2019""",§ 8. Processing of children's personal data for provision of information society services,General,processing|personal data|children|information society services,PERSONAL DATA|personal data,Chapter 1 > § 1. Scope of regulation of Act > (1) This Act regulates: > Chapter 3 > § 8. Processing of children's personal data for provision of information society services,11.233923,0,
7d60a64a-6aa4-4728-ae87-e817decf3a11,"Article 28Treatment conditions. It corresponds to the person in charge or the
person in charge, the diffusion, commercialization and distribution of said data,
according to what is determined by the informed consent granted by the owner, even
when these data are stored or hosted by a technological intermediary.

Article 29Contracting or subcontracting services. In the contracting or
subcontracting of services provided by a technological intermediary or service
provider, it will be considered tha...",consent,Data Lifecycle Management|Information Security|Third-Party Risk Management,"Lawfulness, Fairness, Transparency|Third-Party Contract and Service Initiation|Third-Party Monitoring",Costa Rica,GDPR,"""Regulation to Personal Data Protection Law - Costa Rica 2012""",Article 28Treatment conditions. It corresponds to the person in charge or the,28,informed consent|technological intermediary|personal data|processing of personal data|security measures|integrity|security,personal data,"Chapter I > Article 1. Object. The purpose of these provisions is to regulate the Law on > Article 2. Definitions, acronyms and acronyms. In addition to the definitions > Chapter IV > Article 28Treatment conditions. It corresponds to the person in charge or the",11.064023,0,
79ac39e0-6f91-441c-abcf-8243f96e54d6,"Article 1er: The provisions of Articles 13, 14, 20, 37, 101, 102 and 104 are amended and now
read as follows:
""New Article 13: Any natural person has the right to oppose, for legitimate reasons, the
processing of personal data concerning them. They have the right to oppose by any means, free of charge, the communication or use
on any medium of their personal data, for various purposes if they have not previously
consented. The right to object does not apply when the processing is subject to publ...",consent,Individual Rights Processing|Data Lifecycle Management,"Consent|Data Subject Rights|Data Quality|Lawfulness, Fairness, Transparency",Republic of Gabon,GDPR,"""Personal Data Protection Ordinance - Gabon 2020""","Article 1er: The provisions of Articles 13, 14, 20, 37, 101, 102 and 104 are amended and now",1,consent|controller|right to object|right to rectification|right to erasure|data subject|lawful basis|legitimate reasons|public interest|legal obligation,Personal Data|third party|data subject|personal data|controller,"Article 1er: The provisions of Articles 13, 14, 20, 37, 101, 102 and 104 are amended and now",10.972298,0,
59a775f6-7a3f-44e5-aca0-32bfa07adabf,"(b) It shall not be unlawful under this chapter for an officer, employee, or agent of the Federal Communications
Commission, in the normal course of his employment and in discharge of the monitoring responsibilities exercised by
the Commission in the enforcement of chapter 5 of title 47 of the United States Code, to intercept a wire or electronic
communication, or oral communication transmitted by radio, or to disclose or use the information thereby obtained.

(c) It shall not be unlawful under ...",consent,Policy Management|Information Security,Notice and Disclosure|Information Protection Processes and Procedures,US,GDPR,"""Wiretap Act - US 1968""","(b) It shall not be unlawful under this chapter for an officer, employee, or agent of the Federal Communications",General,consent|intercept|wire communication|oral communication|electronic communication,,"§2511. Interception and disclosure of wire, oral, or electronic communications > (1) Except as otherwise specifically provided in this chapter any person who- > (a) intentionally intercepts, endeavors to intercept, or procures any other person to intercept or endeavor to > (b) intentionally uses, endeavors to use, or procures any other person to use or endeavor to use any electronic, > (i) such device is affixed to, or otherwise transmits a signal through, a wire, cable, or other like connection used > (v) such person acts in the District of Columbia, the Commonwealth of Puerto Rico, or any territory or > (b) It shall not be unlawful under this chapter for an officer, employee, or agent of the Federal Communications",10.909551,0,
c54848de-8a3f-46de-9887-110aacec5959,"§ 11. Processing of personal data in public places
Unless otherwise provided by law, upon making in public places of audio or visual recordings intended for
future disclosure, the consent of data subjects shall be substituted by an obligation to notify the data subjects
thereof in a manner which allows the persons to understand the fact of the recording of the audio or visual
images and to give the persons an opportunity to prevent the recording of their person if they so wish. The
notification ...",consent,Individual Rights Processing|Data Lifecycle Management,"Consent|Data Subject Rights|Lawfulness, Fairness, Transparency",Estonia,GDPR,"""Personal Data Protection Act - Estonia 2019""",§ 11. Processing of personal data in public places,General,consent|data subjects|notification obligation|processing of personal data,personal data|PERSONAL DATA,Chapter 1 > § 1. Scope of regulation of Act > (1) This Act regulates: > Chapter 3 > § 8. Processing of children's personal data for provision of information society services > § 11. Processing of personal data in public places,10.690578,0,
fe86d5f7-82da-4f1c-a7ff-fb3c9f158d54,"Article 8. Processing of revocation. The person in charge of the database,
upon presentation of the request for revocation of consent, will have a period of five
working days from the receipt of the same, to proceed according to the revocation.
Likewise, within the same period of five business days, you must inform those
physical or legal persons to whom you have transferred the data of said revocation,
which must proceed within five business days from the notification to execute the
revocation ...",consent,Individual Rights Processing|Data Lifecycle Management,Consent|Data Subject Rights,Costa Rica,GDPR,"""Regulation to Personal Data Protection Law - Costa Rica 2012""","Article 8. Processing of revocation. The person in charge of the database,",8,consent|revocation of consent|processing|controller,,"Chapter I > Article 1. Object. The purpose of these provisions is to regulate the Law on > Article 2. Definitions, acronyms and acronyms. In addition to the definitions > Chapter II > Article 8. Processing of revocation. The person in charge of the database,",10.523358,0,
a178bad2-a33c-488f-9dbf-a072a15bbde5,"Chapter VI
Of the Inscription of the Registry of Databases and Files before the Agency

Article 44Registration of the database record. The natural or legal persons
who own personal databases, in accordance with the Law and these Regulations,
must register with the Agency a registry of said databases, providing the following
information:
to)Request from the physical or legal owner, duly authenticated by notary
public or confronted with the signature. In the case of a legal person, a legal entity
...",consent,Strategy and Governance|Policy Management|Data Lifecycle Management|Individual Rights Processing|Third-Party Risk Management,Accountability|Record of Processing|Consent|Notice and Disclosure|Regulatory Affairs,Costa Rica,GDPR,"""Regulation to Personal Data Protection Law - Costa Rica 2012""",Article 44Registration of the database record. The natural or legal persons,44,informed consent|controller|processor|security measures|personal data|database record|data subject|recipients of transfers|notification|responsibilities|registry|technical description,personal data,"Chapter I > Article 1. Object. The purpose of these provisions is to regulate the Law on > Article 2. Definitions, acronyms and acronyms. In addition to the definitions > Chapter VI > Article 44Registration of the database record. The natural or legal persons",10.352868,0,
